"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",35-44,female,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,531,585,0.18630456,-,-,-,0.55891368,7,2024-12-25,2024-12-25
"31 December Engagement campaign",25-34,male,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",5,1272,1347,0.19761591,-,-,-,0.98807953,20,2024-12-25,2024-12-25
"31 December Engagement campaign",25-34,female,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",4,2001,2026,0.32187439,-,-,-,1.28749758,24,2024-12-25,2024-12-25
"31 December Engagement campaign",18-24,female,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",14,4033,4114,0.19533463,-,-,-,2.73468477,42,2024-12-25,2024-12-25
"31 December Engagement campaign",65+,female,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,140,140,0.12974782,-,-,-,0.12974782,6,2024-12-25,2024-12-25
"31 December Engagement campaign",18-24,unknown,2024-12-25,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",10,3978,4263,0.21857517,-,-,-,2.1857517,40,2024-12-25,2024-12-25
"31 December Engagement campaign",65+,female,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,115,139,,-,-,-,0.11977507,2,2024-12-24,2024-12-24
"31 December Engagement campaign",65+,unknown,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,24,25,,-,-,-,0.03992502,0,2024-12-24,2024-12-24
"31 December Engagement campaign",35-44,unknown,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,296,296,,-,-,-,0.17966261,1,2024-12-24,2024-12-24
"31 December Engagement campaign",45-54,male,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,48,59,,-,-,-,0.07985005,0,2024-12-24,2024-12-24
"31 December Engagement campaign",55-64,male,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,21,21,,-,-,-,0.02994377,1,2024-12-24,2024-12-24
"31 December Engagement campaign",55-64,female,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,67,73,,-,-,-,0.09981256,1,2024-12-24,2024-12-24
"31 December Engagement campaign",65+,male,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,48,56,,-,-,-,0.03992502,1,2024-12-24,2024-12-24
"31 December Engagement campaign",55-64,unknown,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,32,41,,-,-,-,0.06986879,0,2024-12-24,2024-12-24
"31 December Engagement campaign",45-54,female,2024-12-24,completed,campaign,,"7-day click or 1-day view",,,147,175,,-,-,-,0.14971884,1,2024-12-24,2024-12-24
"31 December Engagement campaign",45-54,unknown,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,107,121,0.07985005,-,-,-,0.07985005,4,2024-12-24,2024-12-24
"31 December Engagement campaign",18-24,male,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,1168,1197,0.34934396,-,-,-,0.69868791,10,2024-12-24,2024-12-24
"31 December Engagement campaign",25-34,female,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",8,1786,2146,0.18091026,-,-,-,1.4472821,30,2024-12-24,2024-12-24
"31 December Engagement campaign",35-44,female,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,440,502,0.1364105,-,-,-,0.40923149,9,2024-12-24,2024-12-24
"31 December Engagement campaign",25-34,unknown,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",4,1386,1394,0.17217666,-,-,-,0.68870665,13,2024-12-24,2024-12-24
"31 December Engagement campaign",25-34,male,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",4,1002,1102,0.20212043,-,-,-,0.80848172,13,2024-12-24,2024-12-24
"31 December Engagement campaign",18-24,female,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",9,3726,4047,0.32161824,-,-,-,2.8945642,42,2024-12-24,2024-12-24
"31 December Engagement campaign",35-44,male,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,182,219,0.16968135,-,-,-,0.16968135,3,2024-12-24,2024-12-24
"31 December Engagement campaign",18-24,unknown,2024-12-24,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",9,4752,4913,0.29389253,-,-,-,2.6450328,36,2024-12-24,2024-12-24
"31 December Engagement campaign",35-44,male,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,196,196,,-,-,-,0.15969868,2,2024-12-23,2024-12-23
"31 December Engagement campaign",45-54,male,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,56,67,,-,-,-,0.11977401,0,2024-12-23,2024-12-23
"31 December Engagement campaign",65+,female,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,111,130,,-,-,-,0.08983051,9,2024-12-23,2024-12-23
"31 December Engagement campaign",65+,male,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,44,62,,-,-,-,0.05988701,0,2024-12-23,2024-12-23
"31 December Engagement campaign",55-64,unknown,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,36,36,,-,-,-,0.03992467,0,2024-12-23,2024-12-23
"31 December Engagement campaign",65+,unknown,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,16,24,,-,-,-,0,0,2024-12-23,2024-12-23
"31 December Engagement campaign",55-64,male,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,30,30,,-,-,-,0.00998117,0,2024-12-23,2024-12-23
"31 December Engagement campaign",55-64,female,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,28,45,,-,-,-,0.03992467,0,2024-12-23,2024-12-23
"31 December Engagement campaign",45-54,female,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,170,170,,-,-,-,0.14971751,4,2024-12-23,2024-12-23
"31 December Engagement campaign",35-44,unknown,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,254,291,,-,-,-,0.12975518,4,2024-12-23,2024-12-23
"31 December Engagement campaign",25-34,male,2024-12-23,completed,campaign,,"7-day click or 1-day view",,,1035,1098,,-,-,-,0.75856874,11,2024-12-23,2024-12-23
"31 December Engagement campaign",25-34,unknown,2024-12-23,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,1162,1295,0.7386064,-,-,-,0.7386064,7,2024-12-23,2024-12-23
"31 December Engagement campaign",35-44,female,2024-12-23,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,424,469,0.43917137,-,-,-,0.43917137,4,2024-12-23,2024-12-23
"31 December Engagement campaign",18-24,unknown,2024-12-23,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",11,4215,4541,0.25588084,-,-,-,2.81468927,39,2024-12-23,2024-12-23
